Domain Name
BCL
ES
Grand Health Sector
HEM
HEM Grand Sector
HEM-ARM & GG
HEM-OP-1 (Bogura)
HEM-OP-10 (Cumilla)
HEM-OP-11 (Natore)
HEM-OP-12 (Mymensingh)
HEM-OP-2 (Dhaka)
HEM-OP-3 (Rajshahi)
HEM-OP-4 (Rangpur)
HEM-OP-5 (Chattogram)
HEM-OP-6 (Khulna)
HEM-OP-7 (Sylhet)
HEM-OP-8 (Barishal)
HEM-OP-9 (Dinajpur)
HRD
HRD&T
HRM&A
ICT
Medical Education-1 Domain
Medical Education-2 Domain
Medical Service Domain
N/A
N/I
P-1
P-2
P-3
P-4
P-5
P-6
P-7
Program
Religious Complex
TBS
TD
THS
TIMF
